PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;st_dev
maha rahunema;1;1;2;2;2;3;3;4;4;4;5;;;;;;;;;;1,33
maha suruma;1;3;3;3;3;3;3;5;5;5;5;;;;;;;;;;1,29
maha tapma;1;1;2;2;3;3;3;3;4;4;5;;;;;;;;;;1,25
maha tõmbama;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;;;0,79
mööda käima;2;3;3;3;3;3;4;5;5;5;5;;;;;;;;;;1,1
otsa sõitma;2;3;3;3;3;4;4;5;5;5;5;5;5;5;;;;;;;1,07
peale hakkama;1;1;2;2;2;2;3;3;3;5;5;;;;;;;;;;1,36
peale tungima;2;2;2;2;2;3;3;3;4;4;4;;;;;;;;;;0,87
sisse kallama;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;;;;;0,81
sisse kutsuma;1;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;;1,13
sisse torkama;2;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;1,17
sisse vaatama;3;4;4;4;4;5;5;5;5;5;;;;;;;;;;;0,7
taga kihutama;1;1;1;1;2;2;3;3;3;3;4;;;;;;;;;;1,08
taga nutma;2;2;2;2;2;2;2;3;3;3;4;4;4;4;5;;;;;;1,03
tagant tõukama;1;3;3;4;4;5;5;5;5;5;;;;;;;;;;;1,33
tagasi hoidma;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;;0,79
tagasi minema;3;3;4;5;5;5;5;5;5;5;5;5;;;;;;;;;0,79
tagasi põrkama;2;2;2;2;3;3;4;5;5;5;;;;;;;;;;;1,34
tagasi tulema;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;;1,05
tagasi vaatama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;1,41
täis kiiluma;2;2;2;3;3;4;4;4;5;5;5;5;5;5;;;;;;;1,23
vahele kukkuma;1;1;1;2;2;2;2;2;3;3;5;;;;;;;;;;1,17
vastu hakkama;2;2;3;3;3;4;4;5;5;5;;;;;;;;;;;1,17
vastu kajama;1;2;2;2;3;3;3;3;3;4;4;4;5;;;;;;;;1,08
vastu kostma;3;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;0,8
vastu küsima;1;2;3;3;4;4;5;5;5;5;5;5;;;;;;;;;1,38
vastu panema;2;2;2;2;2;2;3;3;3;4;5;5;5;;;;;;;;1,26
vastu pidama;2;2;2;3;3;3;3;4;5;5;;;;;;;;;;;1,14
vastu põrutama;1;1;1;1;1;2;2;2;2;3;3;4;;;;;;;;;1
vastu raiuma;1;1;1;1;1;2;2;2;3;3;4;5;5;;;;;;;;1,5
vastu rääkima;2;2;3;3;3;3;4;4;4;4;5;5;;;;;;;;;1
vastu vahtima;1;2;2;2;3;3;4;4;4;4;4;;;;;;;;;;1,1
vastu võtma;1;2;2;3;3;3;3;4;4;5;5;5;5;;;;;;;;1,33
välja ajama;2;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;;1,03
välja andma;1;1;2;2;2;3;3;4;4;4;5;5;;;;;;;;;1,41
välja hei teatma;2;2;2;2;3;4;4;4;4;4;4;5;5;;;;;;;;1,13
välja hüüdma;2;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;1,03
välja ilmuma;2;3;3;3;3;3;4;4;5;5;5;5;;;;;;;;;1,06
välja jääma;1;3;4;4;4;5;5;5;5;5;5;;;;;;;;;;1,25
välja kostma;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;;1,43
välja kuulutama;1;1;2;3;3;4;4;4;4;4;5;;;;;;;;;;1,33
välja loosima;1;1;1;2;4;4;4;5;5;5;5;5;;;;;;;;;1,73
välja mõõtma;2;2;2;2;3;3;3;3;3;3;4;4;;;;;;;;;0,72
välja nägema;1;1;1;2;2;2;2;2;3;3;;;;;;;;;;;0,74
välja näitama;2;4;4;4;4;4;4;5;5;5;;;;;;;;;;;0,88
välja paiskama;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;;;;1
välja pakkima;1;1;2;2;2;3;4;4;5;5;5;5;;;;;;;;;1,6
välja pilduma;1;2;3;3;3;3;4;4;4;4;5;5;5;5;;;;;;;1,22
välja pistma;4;4;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;;0,51
välja puhastama;1;2;2;2;2;3;4;4;4;4;5;;;;;;;;;;1,26
välja pääsema;2;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;1
välja registreerima;1;1;2;2;3;3;4;4;4;5;5;5;;;;;;;;;1,48
välja rändama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;1,41
välja saagima;1;3;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;1,16
välja suitsetama;2;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;1,14
välja sulama;2;2;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;1,07
välja sülgama;2;2;2;3;3;3;3;4;4;4;4;4;4;5;;;;;;;0,93
välja tahuma;1;2;3;3;3;3;4;4;4;5;5;5;5;5;;;;;;;1,27
välja tõrjuma;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;;1,04
välja venima;1;2;2;2;3;3;3;3;4;4;;;;;;;;;;;0,95
ühte hoidma;1;1;2;2;2;3;3;4;4;4;4;5;;;;;;;;;1,31
üle andma;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;1,41
üle küsima;1;1;2;2;2;3;3;3;3;3;5;5;;;;;;;;;1,29
üle libisema;1;2;2;3;3;4;4;4;4;5;5;;;;;;;;;;1,29
üle lugema;2;2;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;1,12
üle pakkuma;1;1;2;2;2;2;4;4;4;4;5;;;;;;;;;;1,4
üle pesema;2;2;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;1,07
üle tooma;1;2;2;3;3;4;4;4;4;4;5;5;5;;;;;;;;1,27
üles ehmatama;1;2;2;2;3;3;3;4;4;5;;;;;;;;;;;1,2
üles harima;1;1;1;2;3;3;3;3;3;3;5;5;;;;;;;;;1,36
üles joonistama;2;2;2;2;2;4;4;5;5;5;;;;;;;;;;;1,42
üles kasvama;1;2;2;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;1,17
üles kloppima;1;1;1;2;2;2;2;2;2;3;3;3;;;;;;;;;0,74
üles käänama;2;2;3;3;4;4;5;5;5;5;;;;;;;;;;;1,23
üles kündma;1;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;1,21
üles peksma;1;1;1;2;2;3;3;3;5;5;5;;;;;;;;;;1,6
üles seadma;1;2;2;2;2;3;3;3;3;3;4;4;5;;;;;;;;1,07
üles soojenema;1;1;1;3;3;3;3;3;4;4;;;;;;;;;;;1,17
üles tursuma;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;;;;1,04
ümber asuma;1;1;1;2;3;3;4;4;4;5;;;;;;;;;;;1,48
ümber kehastuma;1;1;2;2;3;3;3;4;4;5;5;5;;;;;;;;;1,47
ümber kohendama;2;2;3;4;4;4;4;5;5;5;;;;;;;;;;;1,14
ümber kukkuma;2;2;2;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;1,25
ümber mõtlema;1;1;1;2;3;3;4;4;5;5;;;;;;;;;;;1,6
ümber paigutama;1;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;1,14
ümber reastuma;1;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;1,63
ümber riietama;1;1;1;1;3;4;4;5;5;5;;;;;;;;;;;1,83
ümber ristima;1;1;2;2;2;2;2;2;3;4;4;5;5;5;5;;;;;;1,51
