PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
maha minema;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;
maha müüma;1;1;1;2;2;3;3;3;4;5;;;;;;;;;;
maha põlema;2;2;2;3;4;4;4;5;5;5;;;;;;;;;;
maha rahunema;1;1;2;2;2;3;3;4;4;4;5;;;;;;;;;
maha saagima;3;3;3;3;3;4;4;4;5;5;5;don't know;don't know;;;;;;;
maha salgama;1;1;1;2;2;3;3;4;5;don't know;;;;;;;;;;
maha suruma;1;3;3;3;3;3;3;5;5;5;5;;;;;;;;;
maha tantsima;1;2;2;2;2;3;3;4;4;don't know;don't know;;;;;;;;;
maha tapma;1;1;2;2;3;3;3;3;4;4;5;;;;;;;;;
maha tõmbama;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;;
mööda käima;2;3;3;3;3;3;4;5;5;5;5;;;;;;;;;
otsa panema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;don't know;;;;;
otsa sõitma;2;3;3;3;3;4;4;5;5;5;5;5;5;5;;;;;;
peale hakkama;1;1;2;2;2;2;3;3;3;5;5;;;;;;;;;
peale langema;4;4;4;4;5;5;5;5;5;don't know;;;;;;;;;;
peale tungima;2;2;2;2;2;3;3;3;4;4;4;;;;;;;;;
ringi sõitma;2;2;2;3;4;4;4;4;5;5;don't know;;;;;;;;;
sisse kallama;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;;;;
sisse kutsuma;1;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;
sisse laskma;1;2;3;3;3;3;4;4;4;5;5;5;5;5;don't know;;;;;
sisse taguma;2;3;3;4;4;4;4;4;5;don't know;;;;;;;;;;
sisse tegema;1;2;2;2;2;2;3;4;5;5;don't know;;;;;;;;;
sisse torkama;2;2;3;3;4;4;4;5;5;5;5;;;;;;;;;
sisse vaatama;3;4;4;4;4;5;5;5;5;5;;;;;;;;;;
sisse virutama;1;2;2;2;3;3;3;3;4;5;don't know;;;;;;;;;
sisse õnnistama;1;1;1;1;2;2;3;3;3;3;3;3;4;4;5;don't know;don't know;;;
taga kihutama;1;1;1;1;2;2;3;3;3;3;4;;;;;;;;;
taga nutma;2;2;2;2;2;2;2;3;3;3;4;4;4;4;5;;;;;
tagant tõukama;1;3;3;4;4;5;5;5;5;5;;;;;;;;;;
tagasi hoidma;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;
tagasi minema;3;3;4;5;5;5;5;5;5;5;5;5;;;;;;;;
tagasi nimetama;3;4;4;4;4;4;5;5;5;don't know;;;;;;;;;;
tagasi põrkama;2;2;2;2;3;3;4;5;5;5;;;;;;;;;;
tagasi tulema;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;
tagasi vaatama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
tagasi võitma;2;2;3;3;3;4;4;4;4;don't know;;;;;;;;;;
täis kiiluma;2;2;2;3;3;4;4;4;5;5;5;5;5;5;;;;;;
vahele kukkuma;1;1;1;2;2;2;2;2;3;3;5;;;;;;;;;
vahele pistma;2;3;3;3;3;4;4;5;5;5;5;don't know;;;;;;;;
vastu hakkama;2;2;3;3;3;4;4;5;5;5;;;;;;;;;;
vastu kajama;1;2;2;2;3;3;3;3;3;4;4;4;5;;;;;;;
vastu kostma;3;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;
vastu küsima;1;2;3;3;4;4;5;5;5;5;5;5;;;;;;;;
vastu panema;2;2;2;2;2;2;3;3;3;4;5;5;5;;;;;;;
vastu pidama;2;2;2;3;3;3;3;4;5;5;;;;;;;;;;
vastu põrutama;1;1;1;1;1;2;2;2;2;3;3;4;;;;;;;;
vastu raiuma;1;1;1;1;1;2;2;2;3;3;4;5;5;;;;;;;
vastu rääkima;2;2;3;3;3;3;4;4;4;4;5;5;;;;;;;;
vastu särama;2;2;2;2;3;3;4;4;4;4;4;5;5;5;don't know;;;;;
vastu vahtima;1;2;2;2;3;3;4;4;4;4;4;;;;;;;;;
vastu võtma;1;2;2;3;3;3;3;4;4;5;5;5;5;;;;;;;
välja ajama;2;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;
välja andma;1;1;2;2;2;3;3;4;4;4;5;5;;;;;;;;
välja hdon't knowtma;2;2;2;2;3;4;4;4;4;4;4;5;5;;;;;;;
välja hüüdma;2;2;3;3;4;4;4;4;4;5;5;;;;;;;;;
välja ilmuma;2;3;3;3;3;3;4;4;5;5;5;5;;;;;;;;
välja jääma;1;3;4;4;4;5;5;5;5;5;5;;;;;;;;;
välja kostma;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;
välja kurnama;1;1;2;2;3;3;4;4;4;4;don't know;;;;;;;;;
välja kuulutama;1;1;2;3;3;4;4;4;4;4;5;;;;;;;;;
välja loosima;1;1;1;2;4;4;4;5;5;5;5;5;;;;;;;;
välja minema;3;3;4;4;4;5;5;5;5;5;5;don't know;;;;;;;;
välja mõõtma;2;2;2;2;3;3;3;3;3;3;4;4;;;;;;;;
välja nutma;1;2;2;2;3;3;3;4;4;4;4;5;don't know;don't know;;;;;;
välja nägema;1;1;1;2;2;2;2;2;3;3;;;;;;;;;;
välja näitama;2;4;4;4;4;4;4;5;5;5;;;;;;;;;;
välja paiskama;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;;;
välja pakkima;1;1;2;2;2;3;4;4;5;5;5;5;;;;;;;;
välja pilduma;1;2;3;3;3;3;4;4;4;4;5;5;5;5;;;;;;
välja pistma;4;4;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;
välja puhastama;1;2;2;2;2;3;4;4;4;4;5;;;;;;;;;
välja pääsema;2;3;3;4;4;4;4;5;5;5;5;;;;;;;;;
välja registreerima;1;1;2;2;3;3;4;4;4;5;5;5;;;;;;;;
välja riputama;2;2;2;3;3;3;3;3;4;5;5;5;5;5;don't know;;;;;
välja rändama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
välja saagima;1;3;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;
välja suitsetama;2;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;
välja sulama;2;2;4;4;4;4;4;5;5;5;5;5;5;;;;;;;
välja sülgama;2;2;2;3;3;3;3;4;4;4;4;4;4;5;;;;;;
välja tahuma;1;2;3;3;3;3;4;4;4;5;5;5;5;5;;;;;;
välja tulema;1;2;2;3;3;3;3;3;5;don't know;;;;;;;;;;
välja tõrjuma;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;
välja venima;1;2;2;2;3;3;3;3;4;4;;;;;;;;;;
välja võtma;3;3;3;4;4;4;4;5;5;don't know;don't know;;;;;;;;;
välja üürima;1;1;1;1;2;2;3;4;4;4;4;5;5;don't know;;;;;;
ära tegema;1;2;3;4;4;4;5;5;5;5;5;5;don't know;don't know;;;;;;
ära võtma;2;2;2;3;3;3;3;4;4;4;5;5;don't know;;;;;;;
ühte hoidma;1;1;2;2;2;3;3;4;4;4;4;5;;;;;;;;
üle andma;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;
üle kaaluma;2;2;3;3;3;4;4;4;4;4;4;4;4;4;5;don't know;;;;
üle käima;2;3;3;4;5;5;5;5;don't know;don't know;;;;;;;;;;
üle küsima;1;1;2;2;2;3;3;3;3;3;5;5;;;;;;;;
üle libisema;1;2;2;3;3;4;4;4;4;5;5;;;;;;;;;
üle lugema;2;2;3;3;4;4;4;4;5;5;5;5;5;;;;;;;
üle mängima;1;2;2;2;3;3;4;5;5;5;don't know;;;;;;;;;
üle pakkuma;1;1;2;2;2;2;4;4;4;4;5;;;;;;;;;
üle pesema;2;2;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;
üle pingutama;1;2;2;3;4;4;4;4;5;don't know;;;;;;;;;;
üle tooma;1;2;2;3;3;4;4;4;4;4;5;5;5;;;;;;;
üle trumpama;1;2;2;2;3;3;4;4;4;don't know;don't know;don't know;;;;;;;;
üle uhtuma;1;3;3;4;4;4;5;5;5;5;5;don't know;;;;;;;;
üle võtma;1;2;2;2;2;3;4;4;4;4;don't know;;;;;;;;;
üles ehmatama;1;2;2;2;3;3;3;4;4;5;;;;;;;;;;
üles harima;1;1;1;2;3;3;3;3;3;3;5;5;;;;;;;;
üles joonistama;2;2;2;2;2;4;4;5;5;5;;;;;;;;;;
üles kasvama;1;2;2;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;
üles keerama;2;2;2;2;3;4;4;4;4;4;5;5;don't know;;;;;;;
üles kloppima;1;1;1;2;2;2;2;2;2;3;3;3;;;;;;;;
üles käänama;2;2;3;3;4;4;5;5;5;5;;;;;;;;;;
üles kündma;1;2;3;4;4;4;4;4;4;5;5;;;;;;;;;
üles lugema;1;1;1;1;2;2;2;2;3;3;4;4;4;5;5;don't know;;;;
üles peksma;1;1;1;2;2;3;3;3;5;5;5;;;;;;;;;
üles seadma;1;2;2;2;2;3;3;3;3;3;4;4;5;;;;;;;
üles soojenema;1;1;1;3;3;3;3;3;4;4;;;;;;;;;;
üles tursuma;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;;;
üles vuntsima;1;1;1;2;2;2;3;3;5;don't know;don't know;;;;;;;;;
üles võtma;2;2;2;2;3;3;3;3;3;5;5;don't know;don't know;;;;;;;
ümber asuma;1;1;1;2;3;3;4;4;4;5;;;;;;;;;;
ümber kehastuma;1;1;2;2;3;3;3;4;4;5;5;5;;;;;;;;
ümber kohendama;2;2;3;4;4;4;4;5;5;5;;;;;;;;;;
ümber kukkuma;2;2;2;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;
ümber mõtlema;1;1;1;2;3;3;4;4;5;5;;;;;;;;;;
ümber paigutama;1;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;
ümber reastuma;1;1;2;3;4;4;5;5;5;5;5;;;;;;;;;
ümber riietama;1;1;1;1;3;4;4;5;5;5;;;;;;;;;;
ümber ristima;1;1;2;2;2;2;2;2;3;4;4;5;5;5;5;;;;;
ümber sündima;1;1;1;1;2;2;2;2;2;4;5;5;don't know;;;;;;;
ümber tõmbama;2;2;4;4;5;5;5;5;5;don't know;;;;;;;;;;
