id;class;avg;sentence;particle;verb;all;objcase;objanimacy;objabs;subjcase;subjabs;nounsabs;subjanimacy;casegovernment
21;literal;2;'nii kinnisvara ostja kui ka võtja tingima iga võimalik juht hind alla';alla;tingima;3,32;part;no;5,89;nom;5,91;4,77;yes;0
22;literal;2;'uurima kui palju tema see eest maksma ja õnnestuma hind veel pool miljon kroon võrra alla tingima';alla;tingima;3,09;part;no;5,89;nom;1,91;7,09;yes;0
23;literal;2;'hiinlane meeldima väga valge miss ja miss kasutama see ära ja tingima hind alla';alla;tingima;3,36;nom;no;5,89;nom;3,76;5,12;yes;0
24;literal;2;'tingima isegi hind alla';alla;tingima;3,5;part;no;5,89;nom;3,27;5,89;yes;0
45;non-literal;5;'täiesti alt minema 8 möödalask tegema venemaa ja norra';alt;minema;2,91;noobj;0;0;nom;2,91;3,03;no;0
46;non-literal;5;'100 m vabaujumine ei ületama tema ise kuid ei minema ka alt';alt;minema;3,25;noobj;0;0;nom;3,27;6,5;yes;0
48;non-literal;5;'lugema ja soovitama mõtlema dramatiseering peale et mitte alt minema';alt;minema;2,81;noobj;0;0;nosubj;0;4,82;0;0
49;non-literal;5;'orrison ja massei oma ema kodu peavari pakkuma tarmo urb möönama et minema alt';alt;minema;4,19;noobj;0;0;nom;7,14;6,15;yes;0
59;literal;1,33;'ussripik sattuma hammas olema jõudma edasi sool';edasi;jõudma;4,47;noobj;0;0;nom;8,91;8,49;no;0
62;non-literal;3,67;'pettus ja kurjus ei aitama edasi jõudma';edasi;jõudma;1,96;noobj;0;0;nosubj;0;1,18;0;0
63;non-literal;3,67;'kas olema see põhjus sageli maania kasvav iha välja rabelema edasi jõudma ise tulevik vastu kindlustama';edasi;jõudma;1,93;noobj;0;0;nosubj;0;1,49;0;0
66;literal;1,33;'tänu kergus ja hea juhitavus olema tema auto võimalik väga kiiresti edasi jõudma';edasi;jõudma;2,44;noobj;0;0;nosubj;0;4,43;0;0
67;non-literal;3,67;'loodetavasti olema jõudma kõvasti edasi ja automaatsüsteem kasutama laialdaselt';edasi;jõudma;2,33;noobj;0;0;nom;1,91;5,58;yes;0
69;literal;0;'naine olema himur mees eemale tõukama too olema istuma diivan';eemale;tõukama;4,65;gen;yes;7,31;nom;7,5;7,91;yes;0
70;non-literal;3;'lääs tervik pidama venemaa kaasa haarama mitte eemale tõukama olema london seisukoht';eemale;tõukama;3,03;part;no;2,91;nom;4,15;3,5;no;0
71;non-literal;3;'kool olema pitslinik ja toataim tõukama poiss eemale';eemale;tõukama;5,13;part;yes;7,25;nom;7,25;7,31;no;0
73;non-literal;3;'ortodoksi kirik võtma ise õigus viimane eemale tõukama';eemale;tõukama;3,35;nom;yes;2,45;nosubj;0;3,85;0;0
76;literal;0;'juri püüdma tundmatu eemale tõukama kuid too lööma tema nuga süda piirkond';eemale;tõukama;4,24;part;yes;1,33;nom;5,91;6,91;yes;0
77;non-literal;3;'too alatamiralas käemärk pigem tõukama eemale kui kutsuma';eemale;tõukama;2,4;noobj;0;0;nom;2,29;2,29;no;0
80;non-literal;4;'tavaliselt jälgima mina ikka film kuigi muusika võima vahel esile tükkima';esile;tükkima;2,54;noobj;0;0;nom;6,89;7,06;no;0
82;non-literal;3,33;'b-tüüp inimene ei paistma ka silm sest tema ise ei tükkima esile';esile;tükkima;2,79;noobj;0;0;nom;3,27;4,87;yes;0
83;non-literal;3,33;'lugu edenema tükkima tema järjest lärmakamalt mikrofon ja kaamera esile';esile;tükkima;3,93;noobj;0;0;nom;3,27;7,31;yes;0
86;non-literal;3,33;'naina ei olema kunagi esile tükkima vaid jääma meeldivalt tagaplaan';esile;tükkima;1,92;noobj;0;0;nom;4,98;3,29;yes;0
88;literal;2;'olema tegus inimene kes valmistama ette polster kus ülemnõukogu esimees olema hää hõljuma';ette;valmistama;2,83;nom;no;2,61;nom;1,42;4,69;yes;0
89;non-literal;4;'röövkallaletung inkassor 29 september olema hoolikalt ette valmistama';ette;valmistama;3,18;nom;no;4,64;nosubj;0;5,2;0;0
90;non-literal;3,67;'agentuur tegevus olema eesti ette valmistama';ette;valmistama;2,7;nom;no;2,87;nosubj;0;3,71;no;0
91;non-literal;3,67;'piir kaotamine pooldama eelnõu ette valmistama eelmine haridusminister tõnis lukas';ette;valmistama;3,69;noobj;0;0;nom;7,19;4,93;yes;0
92;non-literal;3,67;'tsahkna sõna pidama elamumajandusamet kahe nädal jooksul ette valmistama juriidiline alus võõrandamisprotsess algatamine';ette;valmistama;3,15;gen;no;1,66;nom;4,54;3,82;yes;0
93;non-literal;4,33;'pikk afganistan sõda naftahind järsk langus tehnoloogiline mahajäämus jms valmistama ette kogu nõukogu impeerium kokkuvarisemine';ette;valmistama;2,85;part;no;2,61;nom;2,47;3,1;no;0
94;non-literal;3,67;'eesti hoiupank valmistama ette oma vara kindlustamine tellimus';ette;valmistama;3,1;part;no;4,46;nom;6,58;3,88;no;0
95;non-literal;3,67;'alates august valmistama 44-meheline estpla-5 ette taani';ette;valmistama;3,73;part;yes;6,86;nosubj;0;5,85;0;0
96;non-literal;4,33;'selguma et see puhk valmistama tüdruk ette';ette;valmistama;2,52;part;yes;7,36;nosubj;0;4,35;0;0
97;non-literal;4;'valgamaa tantsijatevägi olema grupeeruma kolm ja iga piirkond tantsija olema ette valmistama oma kava';ette;valmistama;3,53;gen;no;3,4;nom;8,16;5,94;yes;0
98;non-literal;4;'välisministeerium asuma ette valmistama dokument et saama vajalik raha valitsus reservfond';ette;valmistama;3,42;part;no;7,45;nom;5,73;5,62;no;0
109;non-literal;3;'tema võima ette lugema turuhind ja varastama auto number';ette;lugema;4,32;part;no;5,52;nom;3,27;6,95;yes;0
110;non-literal;3;'seejärel vastama 70-aastane plavsic sõna iga süüdistuspunkt mis kohtunik richard may ette lugema';ette;lugema;3,88;nom;no;1,14;nom;6,74;5,16;yes;0
111;non-literal;4;'võima ette lugema küll kümmekond nimi kes paaris koht vilksatama';ette;lugema;3,53;part;no;5,22;nom;1,91;5,03;yes;0
114;non-literal;3;'mina ei soovima jätkama reformierakond kujundatud ebaeetline õhkkond lugema lauristin ette avaldus';ette;lugema;2,67;gen;no;3,39;nom;5,62;3,73;yes;0
116;non-literal;3;'tanel pidama ajaleht artikkel ette lugema õigesti intonatsioon kasutama ja paus pidama';ette;lugema;3,22;gen;no;6,53;nom;4,95;4,7;yes;0
118;non-literal;3;'kapten vaino kõva lugema ette piirivalveamet peadirektor kolonel roland peets läkitus';ette;lugema;5,21;gen;no;3,22;nom;6,64;6,01;yes;0
121;non-literal;5;'kõik ei olema siiski päris nii nagu sina härra president olema ette kandma';ette;kandma;2,43;noobj;0;0;nosubj;0;6,23;0;0
122;non-literal;5;'õhtu kell 17 kandma ugala ette festival lasteprojekt claudio monteverdi orpehus';ette;kandma;5,3;nom;no;5,88;nosubj;0;6,11;0;0
123;non-literal;5;'maailm noortekoor kandma 8-9 august eesti kontsert saal ette verdi reekviem';ette;kandma;5,01;gen;no;5,08;nom;4,88;5,51;yes;0
125;non-literal;5;'rahandusminister siim kallas valitsusliit ette kandma kolm aasta maksustrateegia olema tunnustus vääriv dokument';ette;kandma;4,24;noobj;0;0;nom;3,8;5,03;yes;0
126;non-literal;5;'ivan mikuliã rõhutama oma muusikalilaulja karjäär kandma ette palake rokk-ooper jesus christ superstar';ette;kandma;4,38;gen;no;7,81;nom;4,86;5,56;yes;0
127;literal;1,67;'meie noorem siis kandma tema toit ette'ette;ette;kandma;3,16;part;no;6,83;nom;1,91;6,83;yes;0
128;non-literal;3;'ilves pidama oluline et ukraina ei ootama et miski kandik ette kandma';ette;kandma;2,98;part;no;1,41;nosubj;0;6,8;0;0
129;literal;2;'süüdlane käituma stereotüüpselt matma tema kael saadik liiv sisse ja kandma tema ette kandik kaupa ahvatlus';ette;kandma;4,09;part;no;1,86;nom;1,91;6,39;yes;0
131;non-literal;3,33;'vesi puhtus olema kaks kriteerium üks koosnema lubama näitaja ja teine olema euroopa poolt ette andma kriteerium';ette;andma;3,11;noobj;0;0;nosubj;0;3,8;0;0
132;literal;1,67;'tänapäev arhitekt panema maja kokku nagu legomäng see tähendama et tema olema ette andma odav jublakas mis pidama ehitama võimalikult kõrge maja';ette;andma;3,07;nom;no;8,2;nosubj;0;6,78;0;0
133;literal;0,67;'talunik olema sundima loom juba praegu hein ette andma';ette;andma;3,32;part;no;8,52;nom;7,38;7,53;0;0
134;literal;0,67;'tema panema tund aeg tühi ruum andma suur paber ette ja käskima suur lenin portree tegema';ette;andma;3,88;nom;no;9,14;nosubj;0;6,32;0;0
135;non-literal;3,33;'teisalt andma sasha ka koerograafia päris palju ette ja ülesanne olema suhteliselt konkreetne';ette;andma;2,39;part;no;5,64;nom;4,8;4,4;yes;0
136;literal;1,67;'poliitik hinnatavus ja tuntus puhul olema vastaja ette andma 40 tipp-poliitik nimi';ette;andma;3,05;nom;no;5,22;nosubj;0;3,97;0;0
138;literal;1,33;'pereema andma söök ette tema olema kokatädi';ette;andma;4,29;gen;no;7,23;nom;7,41;7,53;yes;0
139;non-literal;3;'kleit andma ette ja võistleja pidama sobiv kimp juurde meisterdama';ette;andma;3,59;nom;no;8,44;nosubj;0;7,33;0;0
151;non-literal;3,33;'eskiis tegema küll algul ette';ette;tegema;2,47;gen;no;6,85;nom;1,91;6,85;yes;0
152;non-literal;3,67;'kui mõni klass see päev ajalootund ei olema tegema tund ette';ette;tegema;2,83;nom;no;4,14;nosubj;0;4,33;0;0
154;non-literal;3,33;'plaan tegema pikalt ette see sundima mina poliitik tegema ka üks valimisperiood veidi pikemaajalisem kava';ette;tegema;2,84;nom;no;2,96;nosubj;0;4,36;0;0
155;non-literal;3,33;'saatelõik tegema päev ette ning tema ei kajastama alati kõige aktuaalsem leht esikülg kirjutatav';ette;tegema;3,09;part;no;4,46;nosubj;0;5,95;0;0
157;non-literal;3,67;'siiani olema väli kõige privaatsem kogemus koos carmen electra tema tegema telekas ette ja väli elutuba järele';ette;tegema;3,83;noobj;0;0;nom;3,27;6,73;yes;0
159;non-literal;3;'lisa teatama et partner olema nõus ette maksma 19 miljon dollar väärtus soodushind kõneminut';ette;maksma;3,06;part;no;6,2;nom;4,8;4,74;yes;0
160;non-literal;3,33;'osaliselt maksma raha ette aprill-mai';ette;maksma;3,17;nom;no;7,52;nosubj;0;7,52;0;0
161;non-literal;3,33;'üritama see kõrvale libisema võimalikult palju ette maksma';ette;maksma;2,23;noobj;0;0;nom;1,91;0;yes;0
162;non-literal;3,33;'sõidutoetus võima maksma nii ette avanss kui tagantjärele';ette;maksma;1,45;part;no;2,24;nosubj;0;2,58;0;0
163;non-literal;3,33;1996 aasta lõpp sõlmima pirita linnaosa valitsus viis leping kokku 13 miljon eest maksma raha ette';ette;maksma;3,65;gen;no;7,52;nom;3,82;4,42;yes;0
164;non-literal;3,67;'muidu ei pääsema opp kui raha ette ei maksma';ette;maksma;2,69;part;no;7,52;nosubj;0;6,19;0;0
165;non-literal;4,67;'ema ütlema mina et kui mina nüüd miski tegema tahtma pidama ette vaatama';ette;vaatama;2,18;noobj;0;0;nom;1,91;8,11;yes;0
166;non-literal;4,67;'jaapanlane vaatama pikalt ette ja ühekordne aktsioon ei saavutama miski';ette;vaatama;2,42;noobj;0;0;nom;5,62;4,28;yes;0
167;non-literal;4,67;'jõudma teine euroopa riik tase pidama kaugele ette vaatama';ette;vaatama;3,11;noobj;0;0;nom;1,91;3,32;yes;0
168;literal;0;'vaatama ainult ette tahtma võistlema võitma ja maailmarekord ise saama';ette;vaatama;2,32;noobj;0;0;nom;1,91;6,8;yes;0
169;non-literal;4,67;'inglismaa koondis vaatama ette ronaldinho olema karistusala suurepärane näitleja';ette;vaatama;4,72;noobj;0;0;nom;6,49;6,9;yes;0
170;non-literal;4,67;'ajateenija sõna paluma ülemus tema ette vaatama kui auto välja hüppama';ette;vaatama;4,31;noobj;0;0;nosubj;0;6,73;0;0
171;non-literal;4,67;'maarja lubama libe paremini ette vaatama';ette;vaatama;3,33;noobj;0;0;nom;6,14;6,31;yes;0
172;non-literal;4,67;'leiduma ka uhke auto mis mõlk olema küllap tema vaatama ette';ette;vaatama;3,16;noobj;0;0;nom;3,27;8,32;yes;0
173;non-literal;4,67;'olema ebareaalne ootama erainvestor et tema vaatama kaugemale ette praegune ebastabiilne olukord';ette;vaatama;2,18;noobj;0;0;nom;3,27;2,88;yes;0
174;non-literal;4,67;'mina pidama väga ette vaatama objekt valik kui ei tahtma tüli minema kogu ühiskond';ette;vaatama;2,25;noobj;0;0;nom;1,91;3,16;yes;0
175;non-literal;4,67;'säärane käitumine tulenema tema arvates tõik et investor vaatama ette kuristik teine kallas';ette;vaatama;3,19;noobj;0;0;nom;6,32;4,36;yes;0
176;non-literal;4;'näima et see osa olema film tabama kümme et ilmselt olema see ette kavatsema';ette;kavatsema;2,13;part;no;2,13;nosubj;0;4,56;0;0
177;non-literal;4;'pealtnägija hinnang olema mees peskmine ette kavatsema';ette;kavatsema;3,54;nom;no;5,31;nosubj;0;5,21;0;0
178;non-literal;4;'piruett olema ette kavatsema';ette;kavatsema;2,31;nom;no;5,32;nosubj;0;5,32;0;0
179;non-literal;4;'ajalugu näitama et relvastatud riigipööre tagajärg arenema ikka kaugemale kui ette kavatsema';ette;kavatsema;2,33;noobj;0;0;nosubj;0;2,81;0;0
180;non-literal;4,33;'pikalt ette mõtlema olema enam tarvis';ette;mõtlema;1,53;noobj;0;0;nosubj;0;0;0;0
181;non-literal;4,33;'mõtlema pool sajand ette';ette;mõtlema;3,61;noobj;0;0;nosubj;0;3,55;0;0
182;non-literal;4,33;'mõlema mees elama üks päev kaupa kaugemale ette mõtlema';ette;mõtlema;3,49;noobj;0;0;nom;7,31;6,59;yes;0
183;non-literal;4,33;'ei 1988 ega 1990 aasta olema aeg ega vajadus kaugele ette mõtlema';ette;mõtlema;2,18;noobj;0;0;nosubj;0;2,76;0;0
184;non-literal;4,33;'nagu male kus olema tarvis mitu käik ette mõtlema';ette;mõtlema;2,94;part;no;6,58;nosubj;0;7,44;0;0
185;non-literal;4,33;'hoidma üks käik silm peal sama aeg mõtlema kaks käik ette';ette;mõtlema;4,44;part;no;6,58;nom;3,02;5,47;yes;0
186;non-literal;4,33;'olema nii pikalt ette mõtlema';ette;mõtlema;1,35;noobj;0;0;nosubj;0;0;0;0
187;literal;0;'mets sattuma tema ette auto seejärel tütarlaps auto';ette;sattuma;5,26;noobj;0;0;nom;8,1;8,6;yes;0
188;non-literal;3;'nii sattuma see põlvkond võrra ette';ette;sattuma;2,07;noobj;0;0;nom;1,91;2,84;yes;0
189;non-literal;3;'milline osa see ei tohtima avalikkus ette sattuma';ette;sattuma;1,93;noobj;0;0;nom;1,9;2,5;no;0
190;literal;0;'ikka sattuma ette mõni huvitav kuivanud puu või oks või juurekõverik';ette;sattuma;4,37;noobj;0;0;nom;8,4;8,4;no;0
191;literal;0;'kitsas rada sattuma ette mees kes ei suutma või ei viitsima rabama';ette;sattuma;3,4;noobj;0;0;nom;7,31;7,41;yes;0
192;literal;1,33;'juhtum keerukus tõttu ei pruukima kohtukull ette sattuma üldse tegelik süüdlane ';ette;sattuma;2,02;noobj;0;0;nom;4,35;2,96;yes;0
193;literal;2;'nüüd tulema lihasööja bakter ja sööma ära kõik mis tee sattuma';ette;sattuma;3,17;noobj;0;0;nom;1,14;6,82;yes;0
194;non-literal;4,33;'teise mees niisugune kirjeldus meesautor sulg ei sattuma just sageli ette';ette;sattuma;2,85;noobj;0;0;part;2,13;5,12;no;0
195;literal;0,67;'kiirema lõiku sattuma alati kolm treiler ette see tegema ainult närviline';ette;sattuma;3,02;noobj;0;0;nom;8,42;6,44;no;0
196;literal;0;'tema olema see päev telekaamera ette sattuma ja üsna suur tõenäosus võima tema õhtune uudis nägema';ette;sattuma;2,62;noobj;0;0;nom;3,27;4,7;yes;0
198;non-literal;3,33;'väidetavalt olema katoliiklane ette valmistama kui politsei olema mingi põhjus siiski lubama protestant sisenema';ette;valmistuma;2,52;noobj;0;0;nom;4,96;4,98;yes;0
201;non-literal;3,33;'mina pidama niimoodi ette valmistuma';ette;valmistuma;1,28;noobj;0;0;nom;1,91;0;yes;0
202;non-literal;3,33;'kohale tulnud eesti kirjastus olema aga üsna hästi ette valmistuma';ette;valmistuma;2,43;noobj;0;0;nom;7,2;4,8;no;0
203;non-literal;3,33;'et mitte jääma loll tulema väga põhjalikult ette valmistuma';ette;valmistuma;1,69;noobj;0;0;nosubj;0;0;0;0
204;non-literal;3,33;'tema uskuma et roostlane olema küll formaalselt hästi ette valmistuma';ette;valmistuma;1,96;noobj;0;0;nom;6,6;6,6;yes;0
206;non-literal;3,67;'tegelikult olema naljakas kuulma kuidas tänav fuck ette ja taha käima';ette;käima;3,23;noobj;0;0;nom;6,48;7,15;no;0
207;non-literal;3,67;'eesti elama õige vööndiaeg sügis kevad kevad ja suvi käima kell vööndiaeg tund aeg ette';ette;käima;3,77;noobj;0;0;nom;7,7;4,4;no;0
208;non-literal;3,67;'viimane hoolitsema see eest väga range et aatomkell ei hakkama käima ette ega jääma taha';ette;käima;1,95;noobj;0;0;nom;5,59;5,59;no;0
209;non-literal;3,67;'kui inimene sulgema pime ruum hakkama bioloogiline kell valetama tavaliselt ette käima';ette;käima;3,48;noobj;0;0;nom;7,7;6,51;no;0
210;non-literal;3,33;'spetsialist küsima varsti raha lõpp ette ja kaduma nädal';ette;küsima;3,22;gen;no;7,52;nom;5,58;4,93;yes;0
211;non-literal;3,33;'hoone omanik kavatsema küsima uus rentnik büroopind ehitamine raha ette';ette;küsima;4,51;gen;no;7,52;nom;6,41;6,76;yes;0
212;non-literal;3,33;'planeerima ikka ja nädal-paar küsima ette selgitama kuldkepp kuidas tema püüdma oma töö materjalipuudus vältima';ette;küsima;2,49;noobj;0;0;nom;1,91;4,43;yes;0
213;non-literal;3,33;'mitu aasta küsima ette millal tulema';ette;küsima;2,44;noobj;0;0;nom;3,27;3,56;yes;0
214;non-literal;3,33;'seevastu türgi küsima arst sageli raha ette';ette;küsima;3,89;gen;no;7,52;nom;7,58;7,17;yes;0
215;non-literal;3,33;'tema küsima ette 500-1000 kroon ja siis raha kaduma';ette;küsima;3,77;part;no;8,3;nom;3,27;7,91;yes;0
216;non-literal;5;'mere puiestee äärde olema ette nähtud rida peaasjalikult neljakorruseline linnaelamu';ette;nägema;4,03;nom;no;6,19;nosubj;0;5,88;0;0
217;non-literal;5;'ent ärireegel nägema ette et kui võlgnik raha ära ei maksma tulema tema veenma';ette;nägema;2,42;noobj;0;0;nom;2,4;5,12;no;0
218;non-literal;5;'seadus selline tähtaeg muidugi ette ei nägema';ette;nägema;1,82;part;no;3,09;nom;3,01;3,05;no;0
220;non-literal;5;'kaugele ette mina näha ei oskama kuid lähiaeg jääma kõik endine';ette;nägema;1,7;noobj;0;0;nom;1,91;1,83;yes;0
221;non-literal;5;'rent olema veebruar saadik maksma ja väljaostma jätmine eest olema ette nägema leppetrahv';ette;nägema;2,45;nom;no;2,74;nosubj;0;3,11;0;0
222;non-literal;5;'tänavu olema ette nägema vestlusring';ette;nägema;2,63;part;no;6,82;nosubj;0;6,82;0;0
224;non-literal;5;'eriti salajane grupeering hoolitsema see eest et kõik minema nii nagu teos kangelane hari seldon kunagi ette nägema';ette;nägema;2,76;noobj;0;0;nom;4,39;5,64;yes;0
225;non-literal;5;'olema nägema unenägu ka palju asi ette';ette;nägema;2,26;part;no;3,59;nom;1,91;2,78;yes;0
226;non-literal;5;'õhk tulema tarbima ikka see ette nägema organ kaudu';ette;nägema;3,1;noobj;0;0;nosubj;0;5,72;0;0
227;non-literal;4;'muudatus võtma ette seetõttu et praktika tekkima sageli küsimus kas erastama ei tohtima aga võõrandama võima';ette;võtma;1,66;nom;no;2,37;nosubj;0;2,51;0;0
228;non-literal;3,33;'mina võtma alati raha ette';ette;võtma;2,97;gen;no;7,52;nom;1,91;7,52;yes;0
229;non-literal;3;'supp ja praad olema sööma nüüd võtame ette magustoit';ette;võtma;4,42;gen;no;8,39;nom;1,91;8,39;yes;0
230;non-literal;3,67;'nüüd tulema võtma ette kuum kartul lisama tema tripsuke või ja kastma kartliamps enne suhupanemine sibulasoolvesi sisse';ette;võtma;3,57;nom;no;8,62;nosubj;0;7,45;0;0
231;non-literal;4,33;'nädalavahetus võtma ette pikem retk siis tegema ikka mõni jooksusamm ka';ette;võtma;3,18;part;no;4,08;nom;1,91;5,17;yes;0
232;non-literal;4,33;'tegelikult ei oskama mitte keegi ennustama mis võrtsjärv järgmine ette võtma';ette;võtma;2,47;part;no;1,14;nom;7,7;7,7;no;0
233;non-literal;4,33;'lõpuks jääma ainult soovima et ka teine võtma ette vaim otsimine reis venemaa';ette;võtma;2,44;part;no;6,48;nom;4,49;3,28;yes;0
234;literal;1,33;'võtma ette leht paber ja hakkama kiitma see asi olema vist ebasünnis';ette;võtma;3,1;gen;no;9,14;nom;1,91;6,89;yes;0
237;non-literal;4,67;'võtma kohe oma elu miski ette kohe';ette;võtma;1,65;part;no;1,41;nom;3,02;1,84;yes;0
238;non-literal;4,67;'soovitama soojalt miski ette võtma sest see peletama küll eemale';ette;võtma;1,61;part;no;1,41;nom;1,91;0;yes;0
239;non-literal;4,33;'mina ei kujutama ette et see eesti rahvusriiklus piirama';ette;kujutama;1,7;noobj;0;0;nom;1,91;1,75;yes;0
240;non-literal;4,33;'vähene kujutama ise ette mis minema maksma laps üleskasvatamine';ette;kujutama;2,67;noobj;0;0;nom;2,33;5,05;yes;0
241;non-literal;4,33;'esialgu kujutama ette et istuma laud taga kuid nüüd olema rahul et grupp seadma ise sisse vaba ring';ette;kujutama;2,89;noobj;0;0;nom;3,27;6,96;yes;0
242;non-literal;4,33;'proovima ise ette kujutama mis toimuma üks eeslinn getonoor hing';ette;kujutama;2,65;noobj;0;0;nom;3,02;3,86;yes;0
243;non-literal;4,33;'mina ei suutma ette kujutama et suutma naine erinev meeleolu alati rahuldama';ette;kujutama;2,03;noobj;0;0;nom;1,91;4,52;yes;0
244;non-literal;4,33;'vastandlikuma paar olema raske ette kujutama';ette;kujutama;2,32;part;yes;6,53;nosubj;0;6,53;0;0
245;non-literal;4,33;'kujutama ette teatrikriitik õhin kuna mõni aeg pärast tooma hamlet lava pealinn draamateater';ette;kujutama;3,88;part;no;1,62;nom;3,02;5,84;yes;0
246;non-literal;4,33;'võima vaid ette kujutama mis saama siis kui eesti legaliseerima kanep';ette;kujutama;2;noobj;0;0;nosubj;0;5,37;0;0
247;non-literal;4,33;'patrioot ei kujutama ette kuidas south park ajastu noor tema sõnum vastu võtma';ette;kujutama;3,01;noobj;0;0;nom;4,14;4,54;yes;0
248;non-literal;4,33;'tänapäev olema raske ette kujutama et üks peamine kulu kokkuhoiu põhimõte äriprojekt olema odav orjatöö kasutamine';ette;kujutama;2,07;noobj;0;0;nosubj;0;2,49;0;0
249;non-literal;3,67;'ega mina telekas saade eriti ei vaatama jälgima ainult kas uus kanal olema juurde tulema';juurde;tulema;2,7;noobj;0;0;part;6,81;6,3;no;0
250;non-literal;4,33;'tõbine tulema tasapisi juurde';juurde;tulema;2,33;noobj;0;0;part;2,89;2,89;yes;0
251;literal;0;'üks mina veidi vanem poiss tulema juurde ja ütlema vend mis vahtima siin';juurde;tulema;3,6;noobj;0;0;nom;7,25;7,02;yes;0
252;non-literal;4,33;'nüüd tulema veel paarkümmend tasuta lõunalkäija juurde';juurde;tulema;2,87;noobj;0;0;part;5,3;4,95;yes;0
253;non-literal;4,33;'samas olema lugeja juurde tulema ainult 18%';juurde;tulema;2,37;noobj;0;0;part;5,45;5,45;yes;0
254;literal;0;'aeg-ajalt tulema tõnis juurde ütlema vaatama see pilt kas sina märkama seal selline veider ja põnev detail';juurde;tulema;2,8;noobj;0;0;nom;6,68;6,22;yes;0
255;non-literal;4,33;'madis oviir rahu lahkumine tulem juurde üks mure';juurde;tulema;3,55;noobj;0;0;nom;1,24;3,42;no;0
256;non-literal;4,33;'sõidumõnu tulema juurde hoopis rohkem';juurde;tulema;2,59;noobj;0;0;part;2,84;2,84;no;0
257;non-literal;4,33;'kuskil tulema üks null kogemata juurde';juurde;tulema;3,19;noobj;0;0;nom;3,74;3,74;no;0
258;non-literal;4;'praegu rahuldama vaid püsiklient igapäevane vajadus uus klient laen juurde ei tõmbama';juurde;tõmbama;3,19;part;no;1,24;nosubj;0;4,53;0;0
259;literal;1,67;'kuidas see juurde tõmbama see kogemus olema tema filigraanne';juurde;tõmbama;2,09;part;no;2,13;nosubj;0;1,67;0;0
260;non-literal;4;'rektor sõna ei suutma õppejõukarjäär palju eriala inimene juurde tõmbama';juurde;tõmbama;3,41;part;yes;6,18;nom;0;4,75;no;0
